feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
STR_Cardiobacterium_valvarum	disease_status	periodontitis	-0.423347380141304	0.454179269472392	42	12	0.35686934447259	0.649070496342705
STR_Streptococcus_gordonii	disease_status	periodontitis	-0.857065683286594	0.950536395621156	42	8	0.37263208352566	0.649070496342705
STR_Olsenella_sp_oral_taxon_807	disease_status	periodontitis	0.826665927659524	0.925394778019357	42	13	0.377033597140248	0.649070496342705
STR_Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	disease_status	periodontitis	0.803545030085479	0.929278280280421	42	24	0.392360828721432	0.65074478909896
STR_Neisseria_sicca	disease_status	periodontitis	-0.715920494654974	0.820658700157366	42	17	0.388211581014912	0.65074478909896
STR_Campylobacter_rectus	disease_status	periodontitis	0.580690411643329	0.658366287340567	42	11	0.383037252687961	0.65074478909896
STR_TM7_phylum_sp_oral_taxon_348	disease_status	periodontitis	-0.77325080099381	0.905262632111958	42	14	0.398096030245193	0.652301929076461
STR_Prevotella_saccharolytica	disease_status	periodontitis	-0.968708404200494	1.16222308619798	42	9	0.409514681217043	0.655223489947268
STR_Actinomyces_sp_oral_taxon_897	disease_status	periodontitis	0.563883472095971	0.673349887379474	42	10	0.407326695630152	0.655223489947268
STR_Actinomyces_dentalis	disease_status	periodontitis	0.574212496938774	0.740638457609464	42	25	0.442725535856045	0.678671100237604
STR_Capnocytophaga_ochracea	disease_status	periodontitis	-0.503599555868457	0.633998689547553	42	24	0.431695178403097	0.678671100237604
STR_Eubacterium_brachy	disease_status	periodontitis	0.737127609114025	0.938799386857302	42	18	0.436973466737287	0.678671100237604
STR_Prevotella_sp_oral_taxon_473	disease_status	periodontitis	0.259457663444828	0.335697699014452	42	5	0.444130352361373	0.678671100237604
STR_Candidatus_Gracilibacteria_bacterium_GN02_873	disease_status	periodontitis	-0.293688896133108	0.391686762691313	42	5	0.45775944520803	0.691725383869912
STR_Prevotella_conceptionensis	disease_status	periodontitis	-0.373356459930009	0.516747270392161	42	11	0.474182651145371	0.708668577535939
STR_Dialister_pneumosintes	disease_status	periodontitis	0.309986976720131	0.453117699710253	42	8	0.497843833183719	0.735943057749845
STR_Cardiobacterium_hominis	disease_status	periodontitis	-0.570272398564357	0.859199047399927	42	17	0.510673619766587	0.746791529981246
STR_Neisseria_subflava	disease_status	periodontitis	-0.662381220987578	1.07950574296974	42	20	0.542955679118974	0.761257447012169
STR_Actinomyces_gerencseriae	disease_status	periodontitis	-0.521252901606296	0.84665826196339	42	17	0.541606997855802	0.761257447012169
STR_GGB10022_SGB15896	disease_status	periodontitis	-0.64070986135038	1.04396346637782	42	7	0.542869643635931	0.761257447012169
STR_Selenomonas_sp_oral_taxon_126	disease_status	periodontitis	0.494193101728638	0.784949088133947	42	10	0.532545195144686	0.761257447012169
STR_Aggregatibacter_sp_oral_taxon_458	disease_status	periodontitis	-0.257404902001821	0.504121992956563	42	8	0.612437420660894	0.778425132802632
STR_Capnocytophaga_leadbetteri	disease_status	periodontitis	-0.596652925454773	1.15681141914561	42	25	0.608851775883355	0.778425132802632
STR_Eikenella_corrodens	disease_status	periodontitis	-0.274641317189472	0.536360877307265	42	18	0.611434666418162	0.778425132802632
STR_Actinomyces_israelii	disease_status	periodontitis	0.370544994176815	0.704143149685435	42	15	0.601630573475924	0.778425132802632
STR_Leptotrichia_hofstadii	disease_status	periodontitis	-0.198065235027834	0.3657060649899	42	6	0.591100479380751	0.778425132802632
STR_Prevotella_veroralis	disease_status	periodontitis	0.276764158082369	0.493515702871516	42	6	0.578061226084618	0.778425132802632
STR_Pauljensenia_hongkongensis	disease_status	periodontitis	-0.184870387715037	0.33594767375003	42	8	0.585177103341921	0.778425132802632
STR_candidate_division_SR1_bacterium_MGEHA	disease_status	periodontitis	0.125958650280169	0.230586367142676	42	5	0.587925708984338	0.778425132802632
