cohort_dropped	taxon_id	taxon_name	n_cohorts	direction	effect_size	p_value	q_value
geng2024_PRJDB11203	STR_Abiotrophia_defectiva	Abiotrophia_defectiva	4	health_enriched	-0.0193731266400978	0.239722676587727	0.379192842768687
geng2024_PRJDB11203	STR_Abiotrophia_sp_HMSC24B09	Abiotrophia_sp_HMSC24B09	5	health_enriched	-1.09548111668753	0.176743090576041	0.304034746483138
geng2024_PRJDB11203	STR_Actinobaculum_sp_oral_taxon_183	Actinobaculum_sp_oral_taxon_183	4	health_enriched	0.0764969589144191	0.635076473673758	0.767777728027165
geng2024_PRJDB11203	STR_Actinomyces_SGB17154	Actinomyces_SGB17154	4	disease_enriched	0.358547521693885	0.0373328083146376	0.09047074715664
geng2024_PRJDB11203	STR_Actinomyces_SGB17168	Actinomyces_SGB17168	5	health_enriched	-3.58601385234333	0.00328630117000062	0.0126866510283745
geng2024_PRJDB11203	STR_Actinomyces_bouchesdurhonensis	Actinomyces_bouchesdurhonensis	4	health_enriched	-5.19088432360391	0.0203611406034208	0.0576465070684121
geng2024_PRJDB11203	STR_Actinomyces_dentalis	Actinomyces_dentalis	5	disease_enriched	1.2870775797448	0.126902005492361	0.236693628221707
geng2024_PRJDB11203	STR_Actinomyces_gerencseriae	Actinomyces_gerencseriae	5	health_enriched	0.677630062703409	0.870157421797898	0.92593674370802
geng2024_PRJDB11203	STR_Actinomyces_graevenitzii	Actinomyces_graevenitzii	5	health_enriched	-2.76632945130948	0.152815752005698	0.269866115244106
geng2024_PRJDB11203	STR_Actinomyces_israelii	Actinomyces_israelii	4	disease_enriched	1.4803868593575	0.066618563660999	0.143036327938768
geng2024_PRJDB11203	STR_Actinomyces_johnsonii	Actinomyces_johnsonii	5	health_enriched	0.608650596509622	0.16559785499914	0.286346290936013
geng2024_PRJDB11203	STR_Actinomyces_massiliensis	Actinomyces_massiliensis	5	health_enriched	-0.993603551976955	0.0515969214854538	0.118959568980352
geng2024_PRJDB11203	STR_Actinomyces_naeslundii	Actinomyces_naeslundii	5	health_enriched	0.0848868056619925	0.282837223470702	0.422461822226348
geng2024_PRJDB11203	STR_Actinomyces_oris	Actinomyces_oris	5	disease_enriched	0.597727742089423	0.477777273152905	0.607747335964615
geng2024_PRJDB11203	STR_Actinomyces_sp_ICM47	Actinomyces_sp_ICM47	5	health_enriched	-3.08226974556878	0.000405382365732088	0.0023611744811062
geng2024_PRJDB11203	STR_Actinomyces_sp_ICM58	Actinomyces_sp_ICM58	4	health_enriched	-2.07895557442028	0.000871753927309336	0.00459400482328094
geng2024_PRJDB11203	STR_Actinomyces_sp_S6_Spd3	Actinomyces_sp_S6_Spd3	5	health_enriched	-2.51932106624144	0.00077313657420477	0.00420789086288497
geng2024_PRJDB11203	STR_Actinomyces_sp_oral_taxon_448	Actinomyces_sp_oral_taxon_448	5	health_enriched	-0.243824582237313	0.202419153412711	0.336865054092794
geng2024_PRJDB11203	STR_Actinomyces_sp_oral_taxon_897	Actinomyces_sp_oral_taxon_897	5	disease_enriched	2.2522787516517	0.0927735721890812	0.185547144378162
geng2024_PRJDB11203	STR_Actinomyces_timonensis	Actinomyces_timonensis	2	disease_enriched	0.739682741471057	0.386647127571153	0.521816448591962
geng2024_PRJDB11203	STR_Aggregatibacter_actinomycetemcomitans	Aggregatibacter_actinomycetemcomitans	3	disease_enriched	3.50957581810259	0.244540799026501	0.382960119230181
