candidate_id,taxon_id,taxon_name,phenotype,direction,effect_size,q_value,link_id,vOTU_id,evidence_kind,confidence
CAND_006977768ec7,STR_Corynebacterium_durum,Corynebacterium_durum,periodontitis,health_enriched,-3.038714480353255,0.053545459455426075,LINK_7be30562624c,vOTU_yahara2021_00439,published_prediction,0.86
CAND_852ca01d05a6,STR_Porphyromonas_endodontalis,Porphyromonas_endodontalis,periodontitis,disease_enriched,3.2351803453733443,0.08610578129096126,LINK_61880cb0b283,vOTU_yahara2021_00311,published_prediction,0.75
CAND_0b94103d23eb,STR_Corynebacterium_durum,Corynebacterium_durum,periodontitis,health_enriched,-2.261239015476259,0.054717718522451296,LINK_7be30562624c,vOTU_yahara2021_00439,published_prediction,0.86
CAND_32805cecc575,STR_Porphyromonas_endodontalis,Porphyromonas_endodontalis,periodontitis,disease_enriched,3.3489079495711045,0.0673155777125104,LINK_61880cb0b283,vOTU_yahara2021_00311,published_prediction,0.75
CAND_4c61492fdba4,STR_Corynebacterium_durum,Corynebacterium_durum,periodontitis,health_enriched,-4.332810447066579,0.019086306866706378,LINK_7be30562624c,vOTU_yahara2021_00439,published_prediction,0.86
CAND_970fb62467e0,STR_Porphyromonas_endodontalis,Porphyromonas_endodontalis,periodontitis,disease_enriched,4.488721890061849,0.019086306866706378,LINK_61880cb0b283,vOTU_yahara2021_00311,published_prediction,0.75
CAND_162b157d7441,STR_Corynebacterium_durum,Corynebacterium_durum,periodontitis,health_enriched,-3.2109213142986976,0.054717718522451296,LINK_7be30562624c,vOTU_yahara2021_00439,published_prediction,0.86
CAND_549d8c12c12f,STR_Porphyromonas_endodontalis,Porphyromonas_endodontalis,periodontitis,disease_enriched,3.6909367283354326,0.08610578129096126,LINK_61880cb0b283,vOTU_yahara2021_00311,published_prediction,0.75
CAND_8aff89c824dd,STR_Abiotrophia_defectiva,Abiotrophia_defectiva,periodontitis,health_enriched,-0.019373126640097826,0.38697921109361133,LINK_9cef340eb43e,vOTU_yahara2021_00642,published_prediction,0.73
CAND_c9249c68050f,STR_Actinomyces_graevenitzii,Actinomyces_graevenitzii,periodontitis,health_enriched,-2.7663294513094825,0.27441108155861965,LINK_b81924ac8cca,vOTU_yahara2021_00913,published_prediction,0.65
CAND_2b61375a1944,STR_Alloprevotella_rava,Alloprevotella_rava,periodontitis,health_enriched,0.293546399603816,0.9936589374696748,LINK_e680c02b70d3,vOTU_yahara2021_01161,published_prediction,0.79
CAND_050f645e482b,STR_Catonella_morbi,Catonella_morbi,periodontitis,disease_enriched,2.4415016060339676,0.004920971428724657,LINK_2127ed89f84c,vOTU_yahara2021_00162,published_prediction,0.65
CAND_050f645e482b,STR_Catonella_morbi,Catonella_morbi,periodontitis,disease_enriched,2.4415016060339676,0.004920971428724657,LINK_86ad8a5d763d,vOTU_yahara2021_00197,published_prediction,0.65
CAND_050f645e482b,STR_Catonella_morbi,Catonella_morbi,periodontitis,disease_enriched,2.4415016060339676,0.004920971428724657,LINK_8a1b1cfd6dae,vOTU_yahara2021_00659,published_prediction,0.58
CAND_050f645e482b,STR_Catonella_morbi,Catonella_morbi,periodontitis,disease_enriched,2.4415016060339676,0.004920971428724657,LINK_43912ea66e5d,vOTU_yahara2021_00671,published_prediction,0.62
CAND_050f645e482b,STR_Catonella_morbi,Catonella_morbi,periodontitis,disease_enriched,2.4415016060339676,0.004920971428724657,LINK_10124a98ae9f,vOTU_yahara2021_01670,published_prediction,0.51
CAND_1298762f26ee,STR_Corynebacterium_durum,Corynebacterium_durum,periodontitis,health_enriched,-1.3007633558447158,8.051342837227063e-4,LINK_7be30562624c,vOTU_yahara2021_00439,published_prediction,0.86
CAND_799e0f62db53,STR_Eubacterium_brachy,Eubacterium_brachy,periodontitis,disease_enriched,2.1263773951852754,1.3297252835602319e-4,LINK_f5701ee85df0,vOTU_yahara2021_01103,published_prediction,0.91
CAND_2ec8b68c6dbd,STR_Gemella_sanguinis,Gemella_sanguinis,periodontitis,health_enriched,-2.5146374294671743,0.07474485193146588,LINK_6fbdbea92b6e,vOTU_yahara2021_00605,published_prediction,0.55
