candidate_id,taxon_id,taxon_name,phenotype,direction,effect_size,q_value,link_id,vOTU_id,host_taxon_id,evidence_kind,confidence
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_3117e8a592a3,vOTU_yahara2021_01131,STR_Mogibacterium,published_prediction,0.71
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_45d2c3ccd354,vOTU_yahara2021_01140,STR_Mogibacterium,published_prediction,0.7
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_ab068d5839a0,vOTU_yahara2021_01545,STR_Mogibacterium,published_prediction,0.94
CAND_643a3fc93962,STR_Mogibacterium_timidum,Mogibacterium_timidum,periodontitis,disease_enriched,3.097517101245172,0.17517416015654583,LINK_99bdcb746427,vOTU_yahara2021_01710,STR_Mogibacterium,published_prediction,0.94
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_f620dae6e213,vOTU_yahara2021_00008,STR_Streptococcus,published_prediction,0.7
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_8192db0bdc1d,vOTU_yahara2021_00015,STR_Streptococcus,published_prediction,0.55
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_f9b4823a2c72,vOTU_yahara2021_00016,STR_Streptococcus,published_prediction,0.73
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_501b45868bfe,vOTU_yahara2021_00018,STR_Streptococcus,published_prediction,0.72
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_6c39629ec7bd,vOTU_yahara2021_00028,STR_Streptococcus,published_prediction,0.73
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_02a60e9d9b7b,vOTU_yahara2021_00041,STR_Streptococcus,published_prediction,0.79
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_d9bf4ebd03d4,vOTU_yahara2021_00066,STR_Streptococcus,published_prediction,0.53
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_938ccfcd70e1,vOTU_yahara2021_00087,STR_Streptococcus,published_prediction,0.71
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_ca08d555cf38,vOTU_yahara2021_00088,STR_Streptococcus,published_prediction,0.76
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_9dc1096d8591,vOTU_yahara2021_00092,STR_Streptococcus,published_prediction,0.53
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_7d5a0fe8e179,vOTU_yahara2021_00095,STR_Streptococcus,published_prediction,0.73
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_edf1d72edb2f,vOTU_yahara2021_00096,STR_Streptococcus,published_prediction,0.73
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_426b97b0d125,vOTU_yahara2021_00102,STR_Streptococcus,published_prediction,0.72
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_5f00b607c152,vOTU_yahara2021_00110,STR_Streptococcus,published_prediction,0.51
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_70fe65e9500c,vOTU_yahara2021_00123,STR_Streptococcus,published_prediction,0.77
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_e523ea02adc9,vOTU_yahara2021_00134,STR_Streptococcus,published_prediction,0.74
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_092a445140aa,vOTU_yahara2021_00151,STR_Streptococcus,published_prediction,0.68
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_ebc32d04dcb8,vOTU_yahara2021_00152,STR_Streptococcus,published_prediction,0.81
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_c1576d01a2c0,vOTU_yahara2021_00155,STR_Streptococcus,published_prediction,0.7
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_c4e6327ea50e,vOTU_yahara2021_00158,STR_Streptococcus,published_prediction,0.53
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_a4f40d5e8b8e,vOTU_yahara2021_00159,STR_Streptococcus,published_prediction,0.72
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_f1859794a34f,vOTU_yahara2021_00169,STR_Streptococcus,published_prediction,0.55
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_cb6feed20f41,vOTU_yahara2021_00172,STR_Streptococcus,published_prediction,0.72
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_6066d88b074a,vOTU_yahara2021_00177,STR_Streptococcus,published_prediction,0.67
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_1b4e8ccd7a8c,vOTU_yahara2021_00191,STR_Streptococcus,published_prediction,0.73
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_9b4710571fa9,vOTU_yahara2021_00240,STR_Streptococcus,published_prediction,0.53
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_bddf039fe398,vOTU_yahara2021_00243,STR_Streptococcus,published_prediction,0.56
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_b1413d0fb570,vOTU_yahara2021_00269,STR_Streptococcus,published_prediction,0.63
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_a20c2eeb31e7,vOTU_yahara2021_00283,STR_Streptococcus,published_prediction,0.5
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_afb878493bdb,vOTU_yahara2021_00284,STR_Streptococcus,published_prediction,0.51
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_e221149f1101,vOTU_yahara2021_00302,STR_Streptococcus,published_prediction,0.8
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_7fa94d0dd9c0,vOTU_yahara2021_00305,STR_Streptococcus,published_prediction,0.55
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_2561cdb917b6,vOTU_yahara2021_00308,STR_Streptococcus,published_prediction,0.55
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_0d4749ad1823,vOTU_yahara2021_00314,STR_Streptococcus,published_prediction,0.65
