taxon_id,effect_size,se,p_value,tau2,I2,n_cohorts,taxon_name,q_value,direction
STR_Fusobacterium_pseudoperiodonticum,-0.19162267489992812,0.09093559248416701,0.03509720336327492,0.01513761901231751,37.11093657358243,5,Fusobacterium_pseudoperiodonticum,0.09850811700280522,health_enriched
STR_GGB10022_SGB15896,-0.03498700753527638,0.08307419288728744,0.6736428173217284,0.010011840307434782,29.092393145479388,5,GGB10022_SGB15896,0.7922419048783707,health_enriched
STR_GGB1022_SGB1315,0.3741025225022452,0.11426956356798947,0.001060892600003632,0.058375632092619506,76.77082084063085,6,GGB1022_SGB1315,0.005905635473353551,disease_enriched
STR_GGB1022_SGB1316,0.20434020635740546,0.1051767484032153,0.05203708770292444,0,0,2,GGB1022_SGB1316,0.13166960070285424,disease_enriched
STR_GGB1025_SGB1319,0.20823955769093033,0.07817830168178433,0.007729816320173474,0.011779172781522712,32.45568990726458,6,GGB1025_SGB1319,0.028088345796578842,disease_enriched
STR_GGB1026_SGB1321,-0.18404104601560245,0.0863555447200744,0.03307256497777084,0,0,3,GGB1026_SGB1321,0.09384262181929046,health_enriched
STR_GGB10852_SGB17523,0.5331301934989029,0.07114837746456505,6.720592367155754e-14,0.015552773027707002,53.62061034113008,6,GGB10852_SGB17523,2.0406162278454743e-12,disease_enriched
STR_GGB1138_SGB1455,0.14863420254797827,0.11761763958204798,0.2063353091416329,0.0023922693084472923,8.383940031767684,2,GGB1138_SGB1455,0.34988546928946124,disease_enriched
STR_GGB1188_SGB1538,0.4552984852174157,0.1018414845359284,7.797917552289939e-6,0.033603572782875755,66.99738685089041,5,GGB1188_SGB1538,7.441441321328113e-5,disease_enriched
STR_GGB1201_SGB1566,0.24369695202709257,0.14044901668971593,0.08271822333208206,0.07911355806388265,80.45041674356575,5,GGB1201_SGB1566,0.1782444296317123,disease_enriched
STR_GGB1202_SGB1567,-0.023327183524926916,0.09847836604196929,0.8127528153687451,0,0,3,GGB1202_SGB1567,0.8988723189839765,health_enriched
STR_GGB1203_SGB1568,-0.21390930370650055,0.07144781858204152,0.0027541498208856876,0,0,5,GGB1203_SGB1568,0.012549775243576549,health_enriched
STR_GGB12441_SGB19290,0.0018363400785485326,0.08036197349121355,0.9817692394474813,0,0,4,GGB12441_SGB19290,0.9876279945780606,disease_enriched
STR_GGB12443_SGB19313,0.09049422021414873,0.18842818094824876,0.6310436519475984,0.044814700971264276,62.19139466137143,2,GGB12443_SGB19313,0.7664311990927195,disease_enriched
STR_GGB12761_SGB19791,0.15912655593682934,0.0975763109829772,0.10293445705391173,0.007372055517261908,25.561690570305313,3,GGB12761_SGB19791,0.21092091200004,disease_enriched
STR_GGB12762_SGB19792,0.1540158478224498,0.19325815369766175,0.4254837903846741,0.0928019539728193,82.88651737772344,3,GGB12762_SGB19792,0.5730305886632304,disease_enriched
STR_GGB12763_SGB19797,-0.2623508202937792,0.09632760511559207,0.006458896247626259,0.013888254696325441,37.54704800343098,4,GGB12763_SGB19797,0.024239003895586187,health_enriched
STR_GGB12783_SGB19821,0.15640216278722993,0.16436884469459093,0.34133454497370574,0.02905792448408132,53.486244032054785,2,GGB12783_SGB19821,0.502227920798316,disease_enriched
STR_GGB12785_SGB19823,-0.285234972327364,0.24003240100717257,0.234707903253394,0.21065527219006178,92.9424134176394,4,GGB12785_SGB19823,0.3824021448128468,health_enriched
STR_GGB12785_SGB19825,-0.01984008465426067,0.1049636306414739,0.8500781930279876,0.004066786990969573,11.33781946106277,3,GGB12785_SGB19825,0.9278631257233589,health_enriched
STR_GGB12785_SGB19827,-0.13180011314583712,0.07822959463474717,0.09202989824099995,0,0,4,GGB12785_SGB19827,0.1921124125780874,health_enriched
STR_GGB12788_SGB19831,0.16497490718220192,0.17619848901925245,0.34911798304682484,0.10199166374536428,82.72589362729198,4,GGB12788_SGB19831,0.5050394133007167,disease_enriched
STR_GGB12790_SGB19844,0.21553440128709928,0.10500846950948817,0.040116918502171486,0.033572079186399935,61.085388554482314,5,GGB12790_SGB19844,0.1079088267663734,disease_enriched
STR_GGB12790_SGB19845,0.3500381421911404,0.13795997518454228,0.0111728997859765,0.09406049494864593,85.11957651949574,6,GGB12790_SGB19845,0.03769442958097122,disease_enriched
STR_GGB12796_SGB19893,0.095855853811505,0.15226819651861498,0.5290087707474471,0.07097502330689827,77.55176009910484,4,GGB12796_SGB19893,0.6821966387245072,disease_enriched
STR_GGB1472_SGB2037,-0.03222948245127488,0.09868126419590421,0.7439690517458004,0.013617546251246379,35.02632735693372,4,GGB1472_SGB2037,0.8347964857637292,health_enriched
STR_GGB1472_SGB2038,0.011011604293937561,0.13459586137746482,0.9347959317250467,0.024843410204855892,45.52951578016529,3,GGB1472_SGB2038,0.9677960691892297,disease_enriched
