taxon_id,p_value,U,r,var_r,log2fc,mean_case,mean_ctrl,taxon_name,source_id,n_case,n_ctrl,n_total
STR_Candidatus_Saccharibacteria_bacterium_oral_taxon_488,0.25704578900909303,184.5,-0.15560640732265452,0.023223404353955972,-1.7660952935888663,6.706798786293695e-4,0.0022835990769912028,Candidatus_Saccharibacteria_bacterium_oral_taxon_488,geng2024_PRJDB11203,23,19,42
STR_Rothia_aeria,0.01103576910054795,123,-0.437070938215103,0.01596172767851618,-2.5013694198827268,0.005626073161427806,0.0318607618642913,Rothia_aeria,geng2024_PRJDB11203,23,19,42
STR_Prevotella_maculosa,0.6953826984827741,205,-0.06178489702517165,0.024204385983893156,0.7855057503635422,0.003506760723674872,0.0020340222800190036,Prevotella_maculosa,geng2024_PRJDB11203,23,19,42
STR_Veillonella_parvula,0.2611662508316621,176,-0.19450800915331812,0.02257962517816888,-1.1021202991183259,0.009919139591599398,0.021294559374358826,Veillonella_parvula,geng2024_PRJDB11203,23,19,42
STR_Prevotella_nigrescens,0.6539712515980111,235,0.07551487414187652,0.024112866488531077,0.22921589557386196,0.014254830445688428,0.012160626494453495,Prevotella_nigrescens,geng2024_PRJDB11203,23,19,42
STR_Treponema_maltophilum,0.0031199837923366882,324.5,0.4851258581235698,0.014260830736594525,3.9140699259585596,0.006297531037330935,4.1681768739375795e-4,Treponema_maltophilum,geng2024_PRJDB11203,23,19,42
STR_Prevotella_saccharolytica,0.5494608412908686,201,-0.080091533180778,0.024078337570912975,-0.20093962697886503,0.001105289657753739,0.0012706210468874247,Prevotella_saccharolytica,geng2024_PRJDB11203,23,19,42
STR_GGB4400_SGB6074,0.5333982347619248,202,-0.07551487414187641,0.024112866488531077,-0.9742881988684057,4.195608228339406e-4,8.252639141354138e-4,GGB4400_SGB6074,geng2024_PRJDB11203,23,19,42
STR_Actinomyces_israelii,0.8364802170674048,226,0.034324942791762014,0.024332804506437194,0.5998346653931401,0.002170490661601029,0.0014318137458659143,Actinomyces_israelii,geng2024_PRJDB11203,23,19,42
STR_Prevotella_oralis,0.35017987381977506,243,0.11212814645308922,0.0237807958747571,0.5657046781628415,8.544706196600022e-4,5.769776193975211e-4,Prevotella_oralis,geng2024_PRJDB11203,23,19,42
STR_Cardiobacterium_valvarum,0.2956177930243412,185,-0.1533180778032036,0.02325706552265767,-0.7876075415541163,7.833664926258126e-4,0.0013529808675063555,Cardiobacterium_valvarum,geng2024_PRJDB11203,23,19,42
STR_Lachnospiraceae_bacterium_oral_taxon_500,0.13918959231839798,261,0.194508009153318,0.022579625178168885,0.4737380333017,4.1803751901371754e-4,3.007474103968522e-4,Lachnospiraceae_bacterium_oral_taxon_500,geng2024_PRJDB11203,23,19,42
STR_Leptotrichia_sp_oral_taxon_212,0.7863290356686555,209,-0.04347826086956519,0.024298118417592707,0.24744804837293793,0.0017961391339777098,0.001512883363542833,Leptotrichia_sp_oral_taxon_212,geng2024_PRJDB11203,23,19,42
STR_Streptococcus_sanguinis,0.02318481531483695,141,-0.3546910755148741,0.018639404168544507,-4.060388312094578,6.030383378393113e-4,0.010076740700736796,Streptococcus_sanguinis,geng2024_PRJDB11203,23,19,42
STR_Actinomyces_sp_oral_taxon_448,0.39637419380781663,195,-0.10755148741418763,0.02382924775752533,2.8344898880839415,0.005740100382478452,8.038754145878627e-4,Actinomyces_sp_oral_taxon_448,geng2024_PRJDB11203,23,19,42
STR_Bacteroidetes_oral_taxon_274,0.9529753739715844,221,0.011441647597254079,0.024383858403372902,-0.7309700731482274,0.025413361817906342,0.042180607525577646,Bacteroidetes_oral_taxon_274,geng2024_PRJDB11203,23,19,42
STR_Porphyromonas_gingivalis,0.03290076400799937,294,0.34553775743707105,0.01891372689779117,2.8725868033264796,0.1159389161970555,0.01582962965973071,Porphyromonas_gingivalis,geng2024_PRJDB11203,23,19,42
STR_Campylobacter_curvus,0.29324917109342163,246,0.12585812356979398,0.02362366779341753,4.679843097899126,6.361270572993913e-4,2.385723976936134e-5,Campylobacter_curvus,geng2024_PRJDB11203,23,19,42
STR_Neisseria_sicca,0.5888977496399277,199,-0.08924485125858128,0.02400327191691146,-1.5094307835061052,0.011430942469025623,0.03254547604612975,Neisseria_sicca,geng2024_PRJDB11203,23,19,42
STR_GGB10022_SGB15896,0.559287403376435,203,-0.07093821510297482,0.0241453868931323,0.20330094332862808,0.016565944867203686,0.01438840197136211,GGB10022_SGB15896,geng2024_PRJDB11203,23,19,42
