candidate_id,taxon_id,taxon_name,phenotype,direction,effect_size,p_value,q_value,n_cohorts,method,schema_version
CAND_de79d0382132,STR_Prevotella_baroniae,Prevotella_baroniae,periodontitis,disease_enriched,25.125621910405165,1.1541631519567633e-17,9.810386791632488e-17,1,deseq2,0.1
CAND_29b01d3e12df,STR_Peptostreptococcus_stomatis,Peptostreptococcus_stomatis,periodontitis,disease_enriched,25.993041310688124,8.536097555680151e-19,1.055372061429546e-17,1,deseq2,0.1
CAND_007ff06d5a43,STR_Eubacterium_yurii,Eubacterium_yurii,periodontitis,disease_enriched,24.204128114091446,1.6793397571939034e-16,1.0875724141827184e-15,1,deseq2,0.1
CAND_be8592924aaf,STR_Prevotella_sp_oral_taxon_473,Prevotella_sp_oral_taxon_473,periodontitis,disease_enriched,21.88389135932637,9.194634121642974e-14,5.210292668931019e-13,1,deseq2,0.1
CAND_2b9976fd2d2a,STR_GGB49229_SGB69060,GGB49229_SGB69060,periodontitis,disease_enriched,26.30888747524463,3.2352838786115955e-19,4.3999860749117696e-18,1,deseq2,0.1
CAND_b5cdbff85dd4,STR_Treponema_sp_Marseille_Q3903,Treponema_sp_Marseille_Q3903,periodontitis,disease_enriched,27.297136388210834,1.4439911290553868e-20,2.8054684793076084e-19,1,deseq2,0.1
CAND_e0d01f454c76,STR_GGB1611_SGB2208,GGB1611_SGB2208,periodontitis,disease_enriched,27.70301141609637,3.8986048458372645e-21,1.237790306120466e-19,1,deseq2,0.1
CAND_a837cfa0ce7e,STR_Fretibacterium_fastidiosum,Fretibacterium_fastidiosum,periodontitis,disease_enriched,9.189473237783682,8.966037899912916e-5,4.6899275168775257e-4,1,deseq2,0.1
CAND_d5bcce1bdbca,STR_Prevotella_dentalis,Prevotella_dentalis,periodontitis,disease_enriched,24.296969758845936,1.2880302185539174e-16,8.758605486166639e-16,1,deseq2,0.1
CAND_706e6402bac5,STR_GGB4333_SGB5935,GGB4333_SGB5935,periodontitis,disease_enriched,30,4.277827085152321e-27,5.817844835807157e-25,1,deseq2,0.1
CAND_70cf1d229e71,STR_Peptostreptococcaceae_bacterium_oral_taxon_113,Peptostreptococcaceae_bacterium_oral_taxon_113,periodontitis,disease_enriched,25.53856979259109,3.3751782464451857e-18,3.2787445822610374e-17,1,deseq2,0.1
CAND_a5f2ec8384ef,STR_Actinomyces_massiliensis,Actinomyces_massiliensis,periodontitis,health_enriched,-3.5472422463104096,NA,0.09547694536415487,1,consensus,0.1
CAND_d9cdd815bc66,STR_Actinomyces_naeslundii,Actinomyces_naeslundii,periodontitis,health_enriched,-2.68467479963295,NA,0.09728786691536086,1,consensus,0.1
CAND_162b157d7441,STR_Corynebacterium_durum,Corynebacterium_durum,periodontitis,health_enriched,-3.2109213142986976,NA,0.054717718522451296,1,consensus,0.1
CAND_355cdeb60988,STR_Eubacterium_nodatum,Eubacterium_nodatum,periodontitis,disease_enriched,3.8943709546340215,NA,0.053545459455426075,1,consensus,0.1
CAND_372dd5d4ec30,STR_Filifactor_alocis,Filifactor_alocis,periodontitis,disease_enriched,3.6201226431006965,NA,0.09728786691536086,1,consensus,0.1
CAND_ecf7f314cd62,STR_Fretibacterium_fastidiosum,Fretibacterium_fastidiosum,periodontitis,disease_enriched,4.763314927490619,NA,0.09728786691536086,1,consensus,0.1
CAND_59f682b2d55a,STR_GGB10852_SGB17523,GGB10852_SGB17523,periodontitis,disease_enriched,3.3686145865600916,NA,0.053545459455426075,1,consensus,0.1
CAND_d159409cef5f,STR_GGB4333_SGB5935,GGB4333_SGB5935,periodontitis,disease_enriched,16.477126511155888,NA,0.0658746833505376,1,consensus,0.1
CAND_39d7b0025691,STR_Lautropia_mirabilis,Lautropia_mirabilis,periodontitis,health_enriched,-3.0159028275761046,NA,0.08486355915155792,1,consensus,0.1
CAND_549d8c12c12f,STR_Porphyromonas_endodontalis,Porphyromonas_endodontalis,periodontitis,disease_enriched,3.6909367283354326,NA,0.08610578129096126,1,consensus,0.1
CAND_167b799ff00c,STR_Tannerella_forsythia,Tannerella_forsythia,periodontitis,disease_enriched,3.095480469969676,NA,0.09728786691536086,1,consensus,0.1
CAND_da92432a51b5,STR_Treponema_maltophilum,Treponema_maltophilum,periodontitis,disease_enriched,3.395809880352176,NA,0.08486355915155792,1,consensus,0.1
