taxon_id,effect_size,p_value,q_value,direction,taxon_name
STR_Capnocytophaga_gingivalis,-2.172353362097619,0.028923549732011417,0.1639001151480647,health_enriched,Capnocytophaga_gingivalis
STR_Actinomyces_oris,-2.3763549499783236,0.028229275526045212,0.1639001151480647,health_enriched,Actinomyces_oris
STR_Peptostreptococcaceae_bacterium_oral_taxon_113,1.9409141359194588,0.027377219624395738,0.1639001151480647,disease_enriched,Peptostreptococcaceae_bacterium_oral_taxon_113
STR_Dialister_invisus,1.7380793326645916,0.04112904288939277,0.2237419933182967,disease_enriched,Dialister_invisus
STR_GGB1611_SGB2208,0.5898514886956682,0.045731276541112344,0.2392097542150492,disease_enriched,GGB1611_SGB2208
STR_Neisseria_elongata,-2.6378266313524015,0.04824992114910774,0.24303663986217233,health_enriched,Neisseria_elongata
STR_Rothia_dentocariosa,-2.676966939932821,0.05370062951132936,0.2608316290550283,health_enriched,Rothia_dentocariosa
STR_Prevotella_intermedia,1.6963248812954022,0.05912247876696566,0.2772640383554251,disease_enriched,Prevotella_intermedia
STR_GGB1843_SGB2524,-1.08595501390786,0.06320790471481141,0.27761835747405983,health_enriched,GGB1843_SGB2524
STR_Streptococcus_oralis,-1.1528551782086873,0.06532196646448467,0.27761835747405983,health_enriched,Streptococcus_oralis
STR_Kytococcus_sedentarius,-0.6876071051194952,0.0641987695978296,0.27761835747405983,health_enriched,Kytococcus_sedentarius
STR_Campylobacter_SGB19317,-0.48600227588728634,0.07904467890901115,0.3161787156360446,health_enriched,Campylobacter_SGB19317
STR_GGB6675_SGB9425,0.8687482117665014,0.07726261170682922,0.3161787156360446,disease_enriched,GGB6675_SGB9425
STR_Capnocytophaga_sputigena,-1.078988095445864,0.10271445203055088,0.3475630368390236,health_enriched,Capnocytophaga_sputigena
STR_Capnocytophaga_SGB2480,-0.9536232493780585,0.10478003316470566,0.3475630368390236,health_enriched,Capnocytophaga_SGB2480
STR_Prevotella_oris,1.9986910351279732,0.1040092143922931,0.3475630368390236,disease_enriched,Prevotella_oris
STR_Prevotella_denticola,0.8176294673720577,0.09898849102751657,0.3475630368390236,disease_enriched,Prevotella_denticola
STR_Peptostreptococcus_stomatis,0.8454111366237408,0.09504786228627618,0.3475630368390236,disease_enriched,Peptostreptococcus_stomatis
STR_Treponema_sp_Marseille_Q3903,0.7584527888807857,0.10080011923512425,0.3475630368390236,disease_enriched,Treponema_sp_Marseille_Q3903
STR_Prevotella_dentalis,1.0254049672843972,0.09131650944517049,0.3475630368390236,disease_enriched,Prevotella_dentalis
STR_Fusobacterium_nucleatum,1.1587924318248914,0.11474157553132291,0.3629035877269748,disease_enriched,Fusobacterium_nucleatum
STR_Treponema_sp_OMZ_804,1.2110775010456039,0.11223242561948846,0.3629035877269748,disease_enriched,Treponema_sp_OMZ_804
STR_Bacteroidetes_unclassified_SGB1343,1.3590128112393374,0.12284331183896013,0.37969750932042223,disease_enriched,Bacteroidetes_unclassified_SGB1343
STR_Corynebacterium_matruchotii,-1.3278760277941157,0.14109983536036394,0.4171647306306412,health_enriched,Corynebacterium_matruchotii
STR_Prevotella_baroniae,1.0964052489586151,0.1393257156536391,0.4171647306306412,disease_enriched,Prevotella_baroniae
STR_Campylobacter_SGB19337,-0.3797372605569596,0.1447119914133503,0.4187410815365031,health_enriched,Campylobacter_SGB19337
STR_GGB49229_SGB69060,0.5435670075990492,0.14952607722085945,0.4236572187924351,disease_enriched,GGB49229_SGB69060
STR_Campylobacter_curvus,0.8135341935454075,0.16557805416924434,0.45956357891871896,disease_enriched,Campylobacter_curvus
STR_Arachnia_SGB15899,-1.2202459541271033,0.17713001179483875,0.48179363208196146,health_enriched,Arachnia_SGB15899
STR_Porphyromonas_catoniae,-1.0589559073095183,0.19869184763410985,0.5298449270242929,health_enriched,Porphyromonas_catoniae
STR_Isoptericola_variabilis,-0.5389241815035388,0.20487222826913612,0.5358196739346637,health_enriched,Isoptericola_variabilis
STR_Ottowia_sp_Marseille_P4747,-1.5130930301565015,0.21289360413783262,0.5430074715233706,health_enriched,Ottowia_sp_Marseille_P4747
STR_Peptidiphaga_gingivicola,0.5222864352610974,0.2156059078107501,0.5430074715233706,disease_enriched,Peptidiphaga_gingivicola
STR_Pseudopropionibacterium_propionicum,-1.5196346054949397,0.22414212253157081,0.544345154719529,health_enriched,Pseudopropionibacterium_propionicum
STR_Kingella_denitrificans,-0.978589655294199,0.2220994799015287,0.544345154719529,health_enriched,Kingella_denitrificans
STR_Veillonella_parvula,-1.6420585969427315,0.23049705149084468,0.5499578772413136,health_enriched,Veillonella_parvula
STR_Treponema_socranskii,1.3390887062937047,0.24318963383926656,0.5554607865026784,disease_enriched,Treponema_socranskii
STR_Alloprevotella_tannerae,0.9784230988594443,0.2370020159404938,0.5554607865026784,disease_enriched,Alloprevotella_tannerae
STR_Lachnospiraceae_bacterium_oral_taxon_500,0.3786740696617198,0.25306235741183203,0.5554607865026784,disease_enriched,Lachnospiraceae_bacterium_oral_taxon_500
STR_Granulicatella_adiacens,-0.5058725210495859,0.24998209601512092,0.5554607865026784,health_enriched,Granulicatella_adiacens
STR_Anaeroglobus_geminatus,0.4283450034433685,0.25322477031739754,0.5554607865026784,disease_enriched,Anaeroglobus_geminatus
STR_Capnocytophaga_granulosa,-0.9368218916446142,0.2812144981739932,0.5687604734399099,health_enriched,Capnocytophaga_granulosa
STR_Prevotella_loescheii,-0.3586944483774422,0.2786530476124495,0.5687604734399099,health_enriched,Prevotella_loescheii
STR_Haemophilus_parainfluenzae,-1.245948767750347,0.2868556879188655,0.5687604734399099,health_enriched,Haemophilus_parainfluenzae
STR_Arachnia_SGB15898,-0.506091146461643,0.2800602805006037,0.5687604734399099,health_enriched,Arachnia_SGB15898
STR_Lautropia_dentalis,0.5892143149453346,0.28856229902466013,0.5687604734399099,disease_enriched,Lautropia_dentalis
STR_Catonella_morbi,0.5230467915991904,0.2780951490592389,0.5687604734399099,disease_enriched,Catonella_morbi
STR_Anaerolineaceae_bacterium_oral_taxon_439,0.7261749444562509,0.2805654710028923,0.5687604734399099,disease_enriched,Anaerolineaceae_bacterium_oral_taxon_439
