taxon_id,z_pool,p_value,effect_size,direction,n_cohorts,taxon_name,q_value
STR_GGB1611_SGB2208,3.8501503093465463,1.1804535865048751e-4,3.6471991985414216,disease_enriched,5,GGB1611_SGB2208,7.582144190242852e-4
STR_GGB1832_SGB2476,-0.7657120294532271,0.44384766775918305,0.4006584416482507,health_enriched,3,GGB1832_SGB2476,0.5745934923704153
STR_GGB1833_SGB2477,0.2321990217714594,0.8163834375093886,0.1248780875897102,disease_enriched,4,GGB1833_SGB2477,0.8795873165423734
STR_GGB1843_SGB2524,-3.659658174760593,2.5255191353020504e-4,-1.0021043361098858,health_enriched,6,GGB1843_SGB2524,0.0014543506744670429
STR_GGB1844_SGB2532,2.1435450412563197,0.032069358429815696,2.1508749395735376,disease_enriched,2,GGB1844_SGB2532,0.08217419717091937
STR_GGB2665_SGB3591,5.187950590354651,2.126209952655833e-7,8.555864891180992,disease_enriched,4,GGB2665_SGB3591,2.9589755174460344e-6
STR_GGB2672_SGB3600,-1.0645497148367922,0.28707974562143396,-1.1671614835642767,health_enriched,3,GGB2672_SGB3600,0.44185538382197453
STR_GGB2674_SGB3609,2.8278315970321812,0.004686445216618629,5.184576231684197,disease_enriched,2,GGB2674_SGB3609,0.017200798926929915
STR_GGB2676_SGB3611,3.4518920012182748,5.566704917835066e-4,6.137060850877205,disease_enriched,3,GGB2676_SGB3611,0.0029988378105756646
STR_GGB3008_SGB3999,-1.7804954479902295,0.07499491362888262,-1.64742456555089,health_enriched,3,GGB3008_SGB3999,0.15685893736420134
STR_GGB3385_SGB4471,-0.8176787735440499,0.4135406340112841,-0.4962474817561841,health_enriched,3,GGB3385_SGB4471,0.5459390188133157
STR_GGB3385_SGB4472,1.4053560392686593,0.15991543207714956,1.2529454692216266,disease_enriched,6,GGB3385_SGB4472,0.28562435461908
STR_GGB3386_SGB4474,3.9084509454636263,9.288980292288589e-5,5.4538511257943805,disease_enriched,3,GGB3386_SGB4474,6.46358212005081e-4
STR_GGB3388_SGB4476,0.9065623212986396,0.36463829440985024,1.2960828939746245,disease_enriched,4,GGB3388_SGB4476,0.5063694811091733
STR_GGB3394_SGB4498,-3.2447962866284317,0.0011753467356986943,-2.5466231182501704,health_enriched,5,GGB3394_SGB4498,0.005472821116384043
STR_GGB3886_SGB5269,-2.1821720622023086,0.02909683637341994,-3.264145066697108,health_enriched,5,GGB3886_SGB5269,0.07592455741189266
STR_GGB3887_SGB5270,0.9556230504856597,0.33926271160657523,0.6637676150414719,disease_enriched,4,GGB3887_SGB5270,0.4948198501161403
STR_GGB4308_SGB5895,-0.2522894807387503,0.8008173183738869,0.8791909376017695,health_enriched,5,GGB4308_SGB5895,0.8769606043832072
STR_GGB4333_SGB5935,7.208559420153815,5.654689585669877e-13,6.670980333353306,disease_enriched,6,GGB4333_SGB5935,3.147777202689565e-11
STR_GGB4395_SGB6050,-1.835902188135888,0.06637212403047163,-0.8339860634837777,health_enriched,5,GGB4395_SGB6050,0.14483239511402818
